Tissue,Description,ZScore,MeanExp,Breadth,CV,NeighborMeanBreadth,NeighborMeanZscore,Label,Probability,,"Supplementary Table S2. Mouse knock out genes with phenotypes in 6 tissues. 191 genes whose germline deletion result in phenotypic aberration that could be unambiguously ascribed to one of the 6 tissues - Heart, Breast, Thyroid, Muscle, Lung, and Ovary. The tables shows a few key feature values for these genes and the overall score for tissue relevance as computed by FUGUE. ",,,,,,,,,,,,,,
Heart,KCNQ1,0.05628107,15.9857788,0.94773519,0.49319842,0.2319562,-0.5051949,P,0.67645991,,,,,,,,,,,,,,,,
Heart,DNM1L,-0.7950211,18.8810997,0.05110337,0.45197129,0.14846605,-0.6696542,U,0.66840976,,,,,,,,,,,,,,,,
Heart,DAAM1,-0.2329829,14.7063799,0.43205575,0.57754654,0.13757259,-0.6161833,U,0.65646088,,,,,,,,,,,,,,,,
Heart,NOTCH1,-0.7664667,10.4246426,0.04529617,0.5364722,0.07754179,-0.8140354,P,0.64973468,,,,,,,,,,,,,,,,
Heart,DOCK1,-1.0802735,8.73150635,0.00348432,0.46839416,0.08966318,-0.7871528,U,0.64774835,,,,,,,,,,,,,,,,
Heart,FLNA,-0.5221098,133.046844,0.06852497,0.67744398,0.15378255,-0.6235173,U,0.63987267,,,,,,,,,,,,,,,,
Heart,DSP,-0.2112126,56.6238747,0.91753775,0.76581573,0.18159363,-0.588958,P,0.63308799,,,,,,,,,,,,,,,,
Heart,PDLIM3,-0.0220109,136.03096,0.91056911,0.78565574,0.54386372,0.1423411,U,0.63020283,,,,,,,,,,,,,,,,
Heart,TGFB3,-0.1339632,17.8709164,0.54123113,0.81296039,0.27605981,-0.4241932,P,0.62738329,,,,,,,,,,,,,,,,
Heart,RBM20,2.73257685,27.2310047,0.96980256,0.58600622,0.46515679,-0.0501173,P,0.62727636,,,,,,,,,,,,,,,,
Heart,DICER1,-1.1265204,7.13752937,0.00696864,0.47898388,0.11902408,-0.7621435,U,0.62361562,,,,,,,,,,,,,,,,
Heart,TRPM4,-0.2560145,16.2010765,0.42857143,0.48391297,0.17434508,-0.4480345,P,0.61602342,,,,,,,,,,,,,,,,
Heart,NOS3,0.00641801,9.80848217,0.68873403,0.79202175,0.15607126,-0.6844667,N,0.61475605,,,,,,,,,,,,,,,,
Heart,DTNA,-0.1824436,12.8504848,0.77235772,0.51578975,0.24237805,-0.5992208,P,0.60564399,,,,,,,,,,,,,,,,
Heart,GALNT1,-0.8521145,11.4575214,0.04645761,0.5356378,0.04487383,-0.7906256,U,0.6000337,,,,,,,,,,,,,,,,
Heart,BAG3,0.08812805,111.859077,0.67015099,0.89262646,0.15283876,-0.6521489,P,0.59511536,,,,,,,,,,,,,,,,
Heart,KCND3,-0.1345367,6.79371881,0.65853659,0.58807766,0.19327967,-0.5516071,U,0.59493119,,,,,,,,,,,,,,,,
Heart,DCHS1,-0.4130534,6.68575239,0.35191638,0.57889664,0.11759582,-0.7183156,P,0.59246868,,,,,,,,,,,,,,,,
Heart,CALM2,-1.0568635,218.403473,0.00348432,0.43082911,0.17398981,-0.5658297,P,0.59153718,,,,,,,,,,,,,,,,
Heart,PPARG,-0.3446175,5.4719491,0.41695703,0.53659141,0.11866289,-0.7459847,N,0.59079558,,,,,,,,,,,,,,,,
Heart,NR2F2,-0.5646627,17.5015011,0.10452962,0.62026417,0.16861489,-0.6063962,P,0.59055316,,,,,,,,,,,,,,,,
Heart,SGCD,0.74840438,13.9540663,0.88037166,0.69344121,0.54154788,0.08980005,P,0.59050977,,,,,,,,,,,,,,,,
Heart,MED1,-0.8554638,4.39087915,0.01509872,0.48677814,0.11877254,-0.7608731,U,0.58218533,,,,,,,,,,,,,,,,
Heart,PHC1,-0.7347577,5.25020885,0.02787456,0.46287471,0.14723488,-0.6795874,U,0.58192253,,,,,,,,,,,,,,,,
Heart,SMAD9,-0.53237,4.61852026,0.2369338,0.8500663,0.11419482,-0.7530021,U,0.57538909,,,,,,,,,,,,,,,,
Heart,GJA5,0.3486222,15.4638119,0.81765389,1.20787048,0.11982191,-0.6671039,U,0.57443351,,,,,,,,,,,,,,,,
Heart,RPSA,-0.9987042,267.70282,0.02206736,0.53134924,0.11882897,-0.7658185,U,0.57166868,,,,,,,,,,,,,,,,
Heart,CITED2,-0.4841191,33.2487373,0.09639954,0.70148236,0.14559482,-0.7111498,P,0.56922656,,,,,,,,,,,,,,,,
Heart,MYL3,2.46866989,1949.64465,1,1.13339484,0.68757259,-0.2339033,P,0.5682826,,,,,,,,,,,,,,,,
Heart,IFT172,-0.6137176,7.61491632,0.11382114,0.48612961,0.14477195,-0.6278578,P,0.5677495,,,,,,,,,,,,,,,,
Heart,ABCC9,0.10346089,8.49412346,0.78513357,0.50270182,0.48451413,0.02879224,P,0.56482661,,,,,,,,,,,,,,,,
Heart,TMEM43,-0.7141416,46.7567482,0.08130081,0.61476773,0.10021209,-0.7755532,P,0.56357598,,,,,,,,,,,,,,,,
Heart,ZFPM2,-0.1714166,4.24822283,0.61207898,0.54665345,0.17161987,-0.6955773,N,0.55657065,,,,,,,,,,,,,,,,
Heart,SAP130,-0.8531072,6.54807091,0.00232288,0.44603145,0.08503854,-0.7977353,U,0.55620778,,,,,,,,,,,,,,,,
Heart,SNAI1,-0.1844505,9.80967331,0.48432056,1.14824677,0.07584364,-0.7799842,U,0.54699337,,,,,,,,,,,,,,,,
Heart,SCN1B,-0.0552442,17.129528,0.79674797,0.70374006,0.34049555,-0.4008341,P,0.54698086,,,,,,,,,,,,,,,,
Heart,PPP1R13L,0.07789087,48.108448,0.92102207,0.45583183,0.11125189,-0.7306174,U,0.54651552,,,,,,,,,,,,,,,,
Heart,CACNB2,0.00075732,8.6306572,0.7746806,0.62983108,0.14208285,-0.6121211,P,0.53872293,,,,,,,,,,,,,,,,
Heart,RXRA,-0.9383867,11.787776,0.00116144,0.40942225,0.14880639,-0.6951136,U,0.53624666,,,,,,,,,,,,,,,,
Heart,KCNJ5,0.17999315,4.74923325,0.87921022,0.96276706,0.14130856,-0.7433645,P,0.53494406,,,,,,,,,,,,,,,,
Heart,PPP3CA,-0.5940943,6.59121609,0.00464576,0.59132856,0.12754596,-0.6424973,N,0.52368617,,,,,,,,,,,,,,,,
Heart,NCOA6,-1.2642969,5.40155172,0.00232288,0.42567164,0.12479304,-0.7527584,U,0.51425594,,,,,,,,,,,,,,,,
Heart,FKBP1B,-0.6215174,2.93227077,0.01626016,0.59481257,0.18364692,-0.5915229,U,0.50965363,,,,,,,,,,,,,,,,
Heart,NR1D2,-0.8226817,9.13520718,0.06155633,0.64199877,0.10009894,-0.856264,U,0.50501233,,,,,,,,,,,,,,,,
Heart,TFAP2B,-0.3229097,0.02327565,0.30662021,3.9397943,0.14201832,-0.716792,P,0.50025189,,,,,,,,,,,,,,,,
Heart,PDCD1,0.40243593,3.94381452,0.78164925,1.10599101,0.12811579,-0.7181468,N,0.49147388,,,,,,,,,,,,,,,,
Heart,ADORA2A,-0.2449849,3.95915461,0.485482,0.57839483,0.15386026,-0.5605678,N,0.48839295,,,,,,,,,,,,,,,,
Heart,HEY2,-0.0503788,12.5432673,0.64111498,0.94420952,0.39140534,-0.3854556,U,0.48788098,,,,,,,,,,,,,,,,
Heart,KCNA5,0.35341951,20.4662418,0.76074332,1.15526867,0.11227255,-0.7772453,P,0.48425823,,,,,,,,,,,,,,,,
Heart,SMAD6,0.33265239,12.239624,0.80023229,0.90330154,0.09845625,-0.7017808,P,0.48008764,,,,,,,,,,,,,,,,
Heart,TLL1,-0.5534719,0.47746274,0.09407666,1.4312669,0.10723964,-0.5989142,P,0.46376079,,,,,,,,,,,,,,,,
Heart,JAG1,-0.5712147,15.7318573,0.08013937,0.58831918,0.13165266,-0.6608322,P,0.463265,,,,,,,,,,,,,,,,
Heart,BMP4,-0.36166,6.13565254,0.26248548,0.74507272,0.08476143,-0.8361507,U,0.46107668,,,,,,,,,,,,,,,,
Heart,NUP155,-0.5484034,2.32134175,0.00929152,0.4647007,0.13841005,-0.7143351,U,0.43860164,,,,,,,,,,,,,,,,
Heart,GATAD1,-0.9970461,14.2582979,0.01509872,0.48514763,0.08050232,-0.9201861,P,0.43603343,,,,,,,,,,,,,,,,
Heart,YWHAE,-0.8398808,164.739731,0.05923345,0.42688733,0.15392551,-0.6165265,N,0.43500757,,,,,,,,,,,,,,,,
Heart,KCNK3,-0.1489728,6.30300331,0.4970964,1.10695887,0.1293422,-0.7923904,P,0.43345249,,,,,,,,,,,,,,,,
