Tissue,Transcription Factor,FUGUE Score,,,,,,,
Pituitary,ETV5,0.972739279,,,,,,,
Pituitary,PCGF2,0.963706255,,,,,,,
Pituitary,MZF1,0.958178222,,,,,,,
Pituitary,PITX2,0.954085529,,,,,,,
Pituitary,ZNF512B,0.953956068,,,,,,,
Pituitary,STAT4,0.952135086,,,,,,,
Pituitary,ZMAT1,0.948168933,,,,,,,
Pituitary,FOXL2,0.943504632,,,,,,,
Pituitary,MSX1,0.942688107,,,,,,,
Pituitary,REST,0.941572607,,,,,,,
Pituitary,TCF4,0.941142678,,,,,,,
Pituitary,E2F4,0.940823793,,,,,,,
Pituitary,IRF3,0.928357303,,,,,,,
Pituitary,FOXI2,0.927158356,,,,,,,
Pituitary,LCOR,0.924778223,,,,,,,
Pituitary,FOXK1,0.924741268,,,,,,,
Pituitary,FOXO6,0.92396003,,,,,,,
Prostate,TBX3,0.947323442,,,,,,,
Prostate,AR,0.947268367,,,,,,,
Prostate,HOXA9,0.945908487,,,,,,,
Prostate,RELA,0.944823086,,,,,,,
Prostate,SPDEF,0.942465246,,,,,,,
Prostate,MEIS2,0.926686406,,,,,,,
Prostate,NFKB1,0.925557375,,,,,,,
Prostate,SMAD3,0.9228701,,,,,,,
Prostate,HSF1,0.921427608,,,,,,,
Prostate,STAT3,0.921248436,,,,,,,
Prostate,SAFB2,0.921002626,,,,,,,
Prostate,IRF3,0.919513464,,,,,,,
Prostate,STAT6,0.915375173,,,,,,,
Prostate,SMAD4,0.912617624,,,,,,,
Prostate,ELF3,0.911612213,,,,,,,
Prostate,ARNT,0.906981468,,,,,,,
Prostate,SOX9,0.905602157,,,,,,,
Prostate,ZUFSP,0.905419052,,,,,,,
Prostate,HINFP,0.902997971,,,,,,,
Prostate,ZFHX3,0.902064025,,,,,,,
Prostate,ZNF512B,0.896521568,,,,,,,
Salivary_Gland,SOX9,0.979237318,,,,,,,
Salivary_Gland,PITX2,0.966523051,,,,,,,
Salivary_Gland,ELF3,0.956877172,,,,,,,
Salivary_Gland,PAX3,0.956583977,,,,,,,
Salivary_Gland,XBP1,0.952708066,,,,,,,
Salivary_Gland,NR3C2,0.943477035,,,,,,,
Salivary_Gland,FOXI1,0.933518469,,,,,,,
Salivary_Gland,TFCP2L1,0.929600835,,,,,,,
Salivary_Gland,ZHX1,0.929432929,,,,,,,
Salivary_Gland,REST,0.926056921,,,,,,,
Salivary_Gland,KLF3,0.925881326,,,,,,,
Salivary_Gland,EHF,0.925760269,,,,,,,
